location_id,priority_score
L0001,10000
L0002,9999
L0003,9998
L0004,9997
L0005,9996
L0006,9995
L0007,9994
L0008,9993
L0009,9992
L0010,9991
L0011,9990
L0012,9989
L0013,9988
L0014,9987
L0015,9986
L0017,9984
L0016,9985
L0018,9983
L0019,9982
L0020,9981
L0021,9980
L0022,9979
L0023,9978
L0024,9977
L0025,9976
L0026,9975
L0027,9974
L0028,9973
L0029,9972
L0030,9971
L0031,9970
L0032,9969
L0034,9967
L0033,9968
L0035,9966
L0036,9965
L0037,9964
L0038,9963
L0039,9962
L0040,9961
L0041,9960
L0042,9959
L0043,9958
L0044,9957
L0045,9956
L0046,9955
L0047,9954
L0048,9953
L0049,9952
L0051,9950
L0050,9951
L0052,9949
L0053,9948
L0054,9947
L0055,9946
L0056,9945
L0057,9944
L0058,9943
L0059,9942
L0060,9941
L0061,9940
L0062,9939
L0063,9938
L0064,9937
L0065,9936
L0066,9935
L0068,9933
L0067,9934
L0069,9932
L0070,9931
L0071,9930
L0072,9929
L0073,9928
L0074,9927
L0075,9926
L0076,9925
L0077,9924
L0078,9923
L0079,9922
L0080,9921
L0081,9920
L0082,9919
L0083,9918
L0085,9916
L0084,9917
L0086,9915
L0087,9914
L0088,9913
L0089,9912
L0090,9911
L0091,9910
L0092,9909
L0093,9908
L0094,9907
L0095,9906
L0096,9905
L0097,9904
L0098,9903
L0099,9902
L0100,9901
L0102,9899
L0101,9900
L0103,9898
L0104,9897
L0105,9896
L0106,9895
L0107,9894
L0108,9893
L0109,9892
L0110,9891
L0111,9890
L0112,9889
L0113,9888
L0114,9887
L0115,9886
L0116,9885
L0117,9884
L0119,9882
L0118,9883
L0120,9881
L0121,9880
L0122,9879
L0123,9878
L0124,9877
L0125,9876
L0126,9875
L0127,9874
L0128,9873
L0129,9872
L0130,9871
L0131,9870
L0132,9869
L0133,9868
L0134,9867
L0136,9865
L0135,9866
L0137,9864
L0138,9863
L0139,9862
L0140,9861
L0141,9860
L0142,9859
L0143,9858
L0144,9857
L0145,9856
L0146,9855
L0147,9854
L0148,9853
L0149,9852
L0150,9851
L0151,9850
L0153,9848
L0152,9849
L0154,9847
L0155,9846
L0156,9845
L0157,9844
L0158,9843
L0159,9842
L0160,9841
L0161,9840
L0162,9839
L0163,9838
L0164,9837
