location_id,priority_score
L0337,9664
L0513,9488
L0394,9607
L0969,9032
L0171,9830
L0082,9909
L0374,9627
L0616,9385
L0077,9914
L0004,9987
L0239,9762
L0247,9754
L0657,9344
L0108,9993
L0076,9915
L0731,9270
L0870,9131
L0957,9044
L0606,9395
L0404,9597
L0269,9732
L0548,9453
L0836,9165
L0345,9656
L0200,9801
L0790,9211
L0422,9579
L0363,9638
L0892,9109
L0187,9814
L0672,9329
L0871,9130
L0908,9093
L0442,9559
L0285,9716
L0125,9876
L0240,9761
L0178,9823
L0609,9392
L0759,9242
L0242,9759
L0854,9147
L0134,9867
L0686,9315
L0603,9398
L0206,9795
L0857,9144
L0846,9155
L0726,9275
L0950,9051
L0499,9502
L0984,9017
L0460,9541
L0068,9923
L0309,9692
L0354,9647
L0184,9817
L0752,9249
L0774,9227
L0086,9905
L0881,9120
L0735,9266
L0162,9839
L0696,9305
L0495,9506
L0628,9373
L0018,9973
L0526,9475
L0008,9983
L0837,9164
L0997,9004
L0521,9480
L0671,9330
L0624,9377
L0953,9048
L0042,9949
L0493,9508
L0674,9327
L0438,9563
L0087,9904
L0375,9626
L0685,9316
L0048,9943
L0427,9574
L0399,9602
L0973,9028
L0592,9409
L0103,9998
L0320,9681
L0634,9367
L0599,9402
L0140,9861
L0092,9899
L0268,9733
L0227,9774
L0003,9988
L0862,9139
L0974,9027
L0818,9183
L0560,9441
L0189,9812
L0410,9591
L0155,9846
L0817,9184
L0776,9225
L0669,9332
L0768,9233
L0704,9297
L0470,9531
L0958,9043
L0665,9336
L0886,9115
L0461,9540
L0649,9352
L0963,9038
L0791,9210
L0195,9806
L0030,9961
L0525,9476
L0257,9744
L0174,9827
L0292,9709
L0990,9011
L0956,9045
L0019,9972
L0750,9251
L0706,9295
L0694,9307
L0153,9848
L0741,9260
L0866,9135
L0271,9730
L0205,9796
L0793,9208
L0897,9104
L0539,9462
L0531,9470
L0885,9116
L0807,9194
L0528,9473
L0051,9940
L0626,9375
L0133,9868
L0243,9758
L0295,9706
L0542,9459
L0622,9379
L0858,9143
L0511,9490
L0546,9455
L0059,9932
L0757,9244
L0569,9432
L0832,9169
L0925,9076
L0843,9158
L0230,9771
L0207,9794
L0540,9461
L0586,9415
L0896,9105
L0297,9704
L0351,9650
L0147,9854
L0962,9039
L0322,9679
L0849,9152
L0730,9271
L0931,9070
L0296,9705
L0145,9856
L0007,9984
L0618,9383
L0306,9695
L0717,9284
L0228,9773
L0330,9671
L0317,9684
L0865,9136
L0185,9816
L0833,9168
L0454,9547
L0840,9161
L0054,9937
L0587,9414
L0580,9421
L0319,9682
L0458,9543
L0380,9621
L0436,9565
L0020,9971
L0598,9403
L0348,9653
L0096,9895
L0913,9088
L0425,9576
L0234,9767
L0939,9062
L0226,9775
L0455,9546
L0128,9873
L0798,9203
L0620,9381
L0264,9737
L0905,9096
L0810,9191
L0927,9074
L0792,9209
L0358,9643
L0053,9938
L0070,9921
L0713,9288
L0258,9743
L0893,9108
L0362,9639
L0395,9606
L0637,9364
L0472,9529
L0567,9434
L0550,9451
L0482,9519
L0114,9887
L0183,9818
L0653,9348
L0779,9222
L0253,9748
L0026,9965
L0060,9931
L0938,9063
L0766,9235
L0965,9036
L0370,9631
L0154,9847
L0740,9261
L0780,9221
