location_id,priority_score
L0207,5000
L0210,5000
L0209,5000
L0208,5000
L0202,5000
L0204,5000
L0203,5000
L0201,5000
L0206,5000
L0205,5000
L0024,4990
L0022,4990
L0012,4990
L0006,4990
L0014,4990
L0002,4990
L0003,4990
L0009,4990
L0011,4990
L0007,4990
L0018,4990
L0016,4990
L0017,4990
L0004,4990
L0001,4990
L0020,4990
L0008,4990
L0013,4990
L0010,4990
L0023,4990
L0019,4990
L0015,4990
L0005,4990
L0021,4990
L0025,4990
L0034,4989
L0039,4989
L0043,4989
L0028,4989
L0041,4989
L0047,4989
L0026,4989
L0050,4989
L0031,4989
L0049,4989
L0048,4989
L0044,4989
L0032,4989
L0036,4989
L0042,4989
L0038,4989
L0040,4989
L0045,4989
L0027,4989
L0037,4989
L0035,4989
L0029,4989
L0046,4989
L0030,4989
L0033,4989
L0075,4988
L0074,4988
L0063,4988
L0062,4988
L0064,4988
L0070,4988
L0053,4988
L0057,4988
L0058,4988
L0066,4988
L0073,4988
L0065,4988
L0061,4988
L0071,4988
L0069,4988
L0072,4988
L0052,4988
L0059,4988
L0068,4988
L0055,4988
L0054,4988
L0051,4988
L0056,4988
L0067,4988
L0060,4988
L0076,4987
L0096,4987
L0080,4987
L0081,4987
L0083,4987
L0095,4987
L0082,4987
L0078,4987
L0093,4987
L0097,4987
L0100,4987
L0099,4987
L0084,4987
L0088,4987
L0086,4987
L0098,4987
L0089,4987
L0091,4987
L0090,4987
L0079,4987
L0094,4987
L0092,4987
L0077,4987
L0087,4987
L0085,4987
L0106,4986
L0114,4986
L0118,4986
L0112,4986
L0119,4986
L0116,4986
L0117,4986
L0110,4986
L0111,4986
L0123,4986
L0104,4986
L0122,4986
L0115,4986
L0124,4986
L0101,4986
L0102,4986
L0108,4986
L0121,4986
L0109,4986
L0113,4986
L0120,4986
L0103,4986
L0107,4986
L0125,4986
L0105,4986
L0126,4985
L0139,4985
L0129,4985
L0132,4985
L0147,4985
L0130,4985
L0145,4985
L0137,4985
L0138,4985
L0135,4985
L0142,4985
L0144,4985
L0136,4985
L0143,4985
L0148,4985
L0146,4985
L0149,4985
L0140,4985
L0133,4985
L0150,4985
L0141,4985
L0134,4985
L0127,4985
L0131,4985
L0128,4985
L0152,4984
L0154,4984
L0161,4984
L0162,4984
L0153,4984
L0160,4984
L0166,4984
L0165,4984
L0164,4984
L0163,4984
L0171,4984
L0156,4984
L0174,4984
L0170,4984
L0157,4984
L0151,4984
L0168,4984
L0158,4984
L0159,4984
L0175,4984
L0169,4984
L0173,4984
L0172,4984
L0155,4984
L0167,4984
L0186,4983
L0176,4983
L0178,4983
L0194,4983
L0184,4983
L0189,4983
L0197,4983
L0177,4983
L0195,4983
L0181,4983
L0185,4983
L0188,4983
L0196,4983
L0191,4983
L0182,4983
L0187,4983
L0192,4983
L0200,4983
L0179,4983
L0180,4983
L0190,4983
L0198,4983
L0199,4983
L0183,4983
L0193,4983
L0213,4982
L0228,4982
L0227,4982
L0219,4982
L0234,4982
L0231,4982
L0222,4982
L0217,4982
L0220,4982
L0218,4982
L0214,4982
L0229,4982
L0233,4982
L0225,4982
L0216,4982
L0211,4982
L0226,4982
L0230,4982
L0215,4982
L0232,4982
L0223,4982
L0224,4982
L0212,4982
L0221,4982
L0235,4982
L0245,4981
L0240,4981
L0260,4981
L0256,4981
L0249,4981
L0254,4981
L0251,4981
L0242,4981
L0244,4981
L0252,4981
