from_location,to_location,weight
L0001,L0002,2
L0001,L0340,4
L0002,L0003,1
L0002,L0501,8
L0003,L0004,5
L0003,L0173,4
L0003,L0890,12
L0004,L0005,4
L0004,L0193,14
L0005,L0006,4
L0005,L0298,11
L0005,L0488,11
L0005,L0997,15
L0006,L0007,3
L0006,L0368,12
L0006,L0428,1
L0007,L0008,2
L0007,L0067,2
L0007,L0155,1
L0007,L0186,10
L0007,L0251,5
L0007,L0308,4
L0007,L0327,9
L0007,L0639,1
L0007,L0783,1
L0008,L0009,9
L0008,L0184,12
L0008,L0390,7
L0008,L0671,11
L0009,L0010,2
L0009,L0013,7
L0009,L0511,3
L0009,L0705,13
L0009,L0932,15
L0010,L0011,7
L0010,L0284,6
L0011,L0012,1
L0011,L0306,11
L0011,L0426,7
L0011,L0896,7
L0012,L0013,1
L0012,L0775,4
L0013,L0014,2
L0013,L0722,9
L0014,L0015,4
L0014,L0503,11
L0014,L0513,4
L0014,L0812,13
L0014,L0953,11
L0015,L0016,4
L0015,L0155,15
L0015,L0346,11
L0015,L0583,6
L0016,L0017,9
L0016,L0358,2
L0016,L0367,4
L0016,L0761,10
L0016,L0822,4
L0017,L0018,1
L0017,L0128,3
L0017,L0247,3
L0017,L0337,3
L0017,L0483,5
L0017,L0632,2
L0017,L0637,7
L0017,L0695,14
L0018,L0019,9
L0019,L0020,4
L0019,L0976,7
L0020,L0021,9
L0020,L0281,4
L0020,L0483,10
L0020,L0508,7
L0020,L0814,13
L0021,L0022,7
L0021,L0494,7
L0021,L0866,9
L0022,L0023,4
L0022,L0127,2
L0022,L0152,14
L0022,L0443,3
L0022,L0632,2
L0023,L0024,8
L0023,L0077,4
L0023,L0144,2
L0024,L0025,5
L0024,L0029,9
L0024,L0582,15
L0024,L0654,14
L0024,L0784,5
L0025,L0026,1
L0025,L0646,2
L0025,L1000,13
L0026,L0027,3
L0026,L0030,13
L0026,L0183,14
L0026,L0450,2
L0026,L0486,8
L0026,L0519,15
L0027,L0028,7
L0027,L0158,14
L0028,L0029,6
L0028,L0230,3
L0029,L0030,5
L0029,L0252,5
L0030,L0031,3
L0031,L0032,4
L0031,L0034,5
L0031,L0047,3
L0031,L0745,15
L0031,L0835,5
L0031,L0861,6
L0032,L0033,6
L0032,L0063,14
L0032,L0442,3
L0032,L0844,15
L0033,L0034,2
L0033,L0116,7
L0033,L0121,6
L0033,L0182,10
L0033,L0555,15
L0033,L0587,2
L0034,L0035,2
L0034,L0419,1
L0034,L0677,2
L0035,L0036,7
L0035,L0376,10
L0035,L0856,3
L0035,L0891,1
L0036,L0037,2
L0037,L0038,6
L0037,L0567,12
L0038,L0039,6
L0038,L0478,8
L0038,L0557,6
L0039,L0040,5
L0040,L0041,1
L0040,L0063,4
L0040,L0147,11
L0040,L0294,8
L0040,L0406,6
L0041,L0042,8
L0041,L0048,6
L0041,L0254,5
L0041,L0373,7
L0041,L0525,3
L0041,L0583,1
L0041,L0699,7
L0041,L0983,9
L0042,L0043,9
L0042,L0047,12
L0042,L0182,5
L0042,L0995,4
L0043,L0044,2
L0043,L0461,10
L0043,L0713,3
L0044,L0045,7
L0044,L0225,3
L0044,L0745,6
L0044,L0763,9
L0044,L0899,4
L0044,L0930,3
L0045,L0046,2
L0045,L0069,7
L0045,L0246,3
L0045,L0390,15
L0045,L0408,12
L0045,L0856,3
L0046,L0047,9
L0046,L0062,10
L0046,L0452,4
L0046,L0577,11
L0046,L0716,2
L0047,L0048,5
L0047,L0113,10
L0047,L0132,6
L0047,L0306,8
L0047,L0718,6
L0047,L0895,12
L0048,L0049,6
L0048,L0308,9
L0048,L0789,5
L0049,L0050,4
L0049,L0285,9
L0049,L0681,7
L0050,L0051,2
L0050,L0114,2
L0050,L0685,7
L0051,L0052,1
L0052,L0053,4
L0052,L0724,8
L0053,L0054,5
L0053,L0793,10
L0054,L0055,2
L0054,L0061,4
L0054,L0266,1
L0054,L0666,6
L0054,L0695,7
L0054,L0946,3
L0055,L0056,4
L0055,L0301,7
L0055,L0628,9
L0056,L0057,2
L0056,L0169,11
L0056,L0183,9
L0056,L0424,3
L0056,L0539,8
L0056,L0803,4
L0056,L0872,9
L0057,L0058,7
L0057,L0277,11
L0057,L0401,5
L0057,L0512,3
L0057,L0541,4
L0057,L0648,11
L0058,L0059,5
L0058,L0273,2
L0058,L0755,4
L0058,L0799,6
L0059,L0060,8
L0059,L0641,14
L0060,L0061,6
L0060,L0577,13
L0060,L0726,5
L0061,L0062,3
L0061,L0239,5
L0061,L0284,3
L0061,L0662,2
L0061,L0939,8
L0062,L0063,6
L0062,L0113,6
L0062,L0221,8
L0062,L0286,7
L0062,L0601,9
L0062,L0956,5
L0062,L0958,15
L0062,L0972,9
L0062,L0996,12
L0063,L0064,6
L0063,L0067,13
L0063,L0273,1
L0063,L0580,12
L0064,L0065,4
L0064,L0436,8
L0065,L0066,5
L0065,L0114,8
L0065,L0634,10
L0065,L0651,15
L0066,L0067,2
L0066,L0098,8
L0066,L0345,11
L0067,L0068,3
L0067,L0088,15
L0067,L0296,1
L0067,L0373,6
L0067,L0445,11
L0067,L0977,1
L0068,L0069,9
L0068,L0089,12
L0068,L0344,10
L0068,L0363,5
L0069,L0070,4
L0070,L0071,3
L0070,L0367,3
L0070,L0404,11
L0070,L0608,4
L0071,L0072,8
L0071,L0336,15
L0071,L0710,13
L0071,L0850,4
L0072,L0073,7
L0072,L0100,7
L0072,L0504,4
L0072,L0880,4
L0072,L0917,8
L0072,L0934,5
L0073,L0074,5
L0073,L0119,12
L0073,L0589,15
L0073,L0902,15
L0074,L0075,9
L0074,L0273,6
L0075,L0076,4
L0075,L0506,10
L0076,L0077,6
L0076,L0463,1
L0076,L0499,2
L0077,L0078,1
L0077,L0080,1
L0077,L0170,6
L0077,L0981,4
L0078,L0079,4
L0078,L0745,14
L0079,L0080,1
L0079,L0257,4
L0080,L0081,6
L0080,L0303,2
L0080,L0332,1
L0080,L0758,10
L0081,L0082,7
L0081,L0209,14
L0081,L0406,12
L0081,L0544,14
L0081,L0660,15
L0081,L0665,15
L0081,L0763,12
L0081,L0765,5
L0082,L0083,5
L0082,L0284,9
L0082,L0705,3
L0082,L0894,1
L0082,L0905,7
L0083,L0084,2
L0083,L0843,8
L0083,L0864,3
L0084,L0085,4
L0084,L0306,8
L0084,L0552,11
L0084,L0600,1
L0084,L0622,14
L0084,L0751,7
L0085,L0086,6
L0085,L0498,4
L0086,L0087,4
L0086,L0875,15
L0087,L0088,8
L0087,L0138,5
L0087,L0499,8
L0087,L0671,7
L0087,L0942,10
L0088,L0089,7
L0088,L0100,13
L0088,L0198,9
L0088,L0537,2
L0089,L0090,8
L0089,L0162,13
L0089,L0289,8
L0090,L0091,3
L0090,L0115,12
L0090,L0302,11
L0091,L0092,5
L0091,L0643,5
L0091,L0987,11
L0092,L0093,3
L0092,L0153,3
L0092,L0675,14
L0093,L0094,4
L0093,L0150,5
L0093,L0223,15
L0093,L0321,6
L0093,L0375,1
L0093,L0389,6
L0093,L0973,2
L0094,L0095,9
L0094,L0110,5
L0094,L0701,1
L0094,L0736,1
L0094,L0824,8
L0094,L0952,3
L0095,L0096,9
L0095,L0132,14
L0095,L0271,12
L0096,L0097,5
L0096,L0128,9
L0096,L0749,11
L0097,L0098,7
L0097,L0103,12
L0097,L0312,8
L0097,L0764,3
L0098,L0099,7
L0098,L0190,8
L0098,L0482,7
L0099,L0100,6
L0099,L0114,2
L0099,L0172,13
L0099,L0633,4
L0099,L0904,14
L0099,L0940,9
L0100,L0101,4
L0100,L0456,3
L0101,L0102,3
L0101,L0926,15
L0101,L0996,3
L0102,L0103,9
L0102,L0372,6
L0102,L0441,2
L0102,L0642,8
L0102,L0727,8
L0102,L0878,13
L0103,L0104,8
L0103,L0137,11
L0104,L0105,2
L0104,L0253,11
L0104,L0311,3
L0104,L0504,8
L0104,L0672,13
L0104,L0741,11
L0105,L0106,1
L0105,L0130,10
L0105,L0474,3
L0105,L0592,9
L0106,L0107,2
L0106,L0111,12
L0106,L0114,10
L0106,L0537,10
L0106,L0721,11
L0107,L0108,3
L0107,L0128,5
L0107,L0273,14
L0108,L0109,3
L0108,L0243,3
L0108,L0517,6
L0108,L0802,3
